% Main labels input file 07 oct 2017. 
% modified added chunk load of more triples - 
% Notes - How this file is structured
% States with more information and therefore more priority are first. Eg, bdfl_accepted pep has more information than pep_accepted. Done because a sentence may capture both and we
% want that label with more information
% Also the file follows the same pattern as how a pep is proposed, reviewed, and accepted or rejected, final/implemented
% This makes file easier to understand, maintain and search
% Start with Triples and doubles are therefore at the end of file

% _ = and , 
% further to this, one underscore means the terms must be adjacent, pep_number to prevents cases pep has very large number - which would still match
% while two underscores mean terms matched but can allow other terms in between
% - = or
% in cases of two verbs in clause - ("PEP 488", "is", "marked as accepted")
% can extend this to include all states in one line, pep is was accepted rejected
% really important for making sure somne terms exist together and after another, especially bdfl pronouncement

% Reason triples right at the end

% Additional states - may be important
previous_version_rejected,previous_version_pep,rejected
% acceptance_deferred acceptance_of_pep deferred
deferred,acceptance_of_pep,deferred
you_include_rationale,you_can,include,rationale

small_edits_left,small_edits,are,still

% TRIPLES
% normal,events

% how the proposal came about
proposal_originated,proposal,originated,from
issue_raised,i,raised,issue

% in,other,lists
% IDEA,STAGE,maybe,in,ideas,list
% ("the,moratorium,idea",,"got",,"fairly,positive,responses,On,python-ideas")
idea_received_positively,sig,was,positive_idea
idea_received_positively,idea,got,positive_response|positive_responses

idea_approved,i,approve,general_idea
idea_approved,i,approve,idea

idea_postponed,idea,postponed
idea_adapted,idea,adapted,pep

% see positive_feedback labels at end under reasons

wrote_pep,i,wrote,pep
wrote_pep,i,written,pep

% pre-pep - same as draft- can be changed later

% pre-pep,*,proposed,pre-pep
% pre-pep,*,presented,pre-pep
% pre-pep,*,submitted,pre-pep
% pre-pep,*,introduced,pre-pep
pre-pep,here,is,pre-pep
pre-pep,here,'s,pre-pep
pre-pep,this,circulated,pre-pep
pre-pep,this,is,pre-pep
% pre-pep,coming,addressing

pre-pep,pre-pep,submitted,c.l.py
pre-pep_changed,pre-pep,changed

check_pep_styles,barry,check,editorial_blunders
check_in_pep,barry,check,in


draft_extensive_discussions,draft,saw,discussion

no_remaining_controversy,i,do_n't_see,remaining_controversy
implemented,implementation,done

% ask_for_pep_number,please,assign,pep_number
request_pep_number,i,could_have,pep_number
request_pep_number,i,have,pep_number
request_pep_number,you,could_assign,pep_number
request_pep_number,i,like,pep_number
% "FYI,i"	"submitted"	"the,below,PEP,draft,to,receive,a,proper,version,number,just"
request_pep_number,i,submitted,pep_draft_editors_version
request_pep_number,i,e-mailed,barry_pep_number
request_pep_number,barry,ask,pep_number
request_pep_number,barry,give,pep_number
request_pep_number,barry,give,number

% added after rechecking
assigned_pep_number,barry,assigns,pep_number
assigned_pep_number,barry,assigned,pep_number
assigned_pep_number,barry,assign,pep_number
assigned_pep_number,i,have,pep_number
assigned_pep_number,i,assigned,pep_number
assigned_pep_number,aahz,gave,pep_number
assigned_pep_number,i,propose,pep_number
% can,use,NER,here,and,replace,anyone,in,place,of,Barry
assigned_pep_number,barry,please,assign_number
assigned_pep_number,barry,worked,magic
assigned_pep_number,i,assigned,pep_number			%	I still have to read this but I've assigned a PEP number.
%	Assign PEP #465 to "Dedicated infix operators for matrix multiplication and matrix power" by Nathaniel J. Smith.

idea_rejected,idea,rejected,pep

% PROPOSAL,STAGE
proposal,i,propose,pep
proposal,i,present,pep
proposal,i,present,you
proposal,i,proposed,pep
proposal,i,put,proposal
proposal,i,would,purpose
proposal,there,was,proposal
proposal,document,helps,discussion
proposal,i,would_like,propose
proposal,below,is,pep
proposal,pep,propose
proposal,pep,proposes

% draft
draft,pep,is,draft
draft,here,is,first_draft
draft,this,first_draft,pep
draft,here,is,rough_draft_pep
draft,here,is,draft_pep
% draft,Here,is,draft
draft,here,is,draft
draft,pep_draft,found,here
draft,i,ve,update_first_draft
draft,draft_pep,is,here
draft,attached,is,draft

draft,here,is,first_draft_pep
draft,it,a,early_draft
draft,i,have,first_draft_pep
draft,here,is,latest_draft_pep

updated_pre_pep,attached,is,second_draft_pre-pep
updated,attached,is,second_draft

received_favourably,pep,received,favourably

final,i,changed,pep_final
accepted,i,moved,pep_status_accepted

% feedback
requests_feedback,please,read,comment
requests_feedback,feedback,is_requested
requests_feedback,i,hope,people_give_input
requests_feedback,i,hope,input
requests_feedback,i,apreciate,feedback
requests_feedback,i,need,feedback
requests_feedback,i,welcome,feedback
requests_feedback,review,invited,pep
requests_feedback,i,welcome,suggestion
requests_feedback,please,express,approval_or_disapproval
requests_feedback,please,send_suggestions,improvements
requests_feedback,feedback,is,welcome
requests_feedback,feedback_gratefully,received
requests_feedback,your,has,feedback
requests_feedback,feedback,received,gratefully
requests_feedback,here,is,last_call_for_any_comments
requests_feedback,comments,invited,pep
requests_feedback,me,know,community_opinion
requests_feedback,what,is,community_opinion
requests_feedback,you,can_read,draft

% final,feedback_request
requests_feedback,last_chance_suggest,changes,before_python-dev
requests_feedback,last_chance_suggest,changes
requests_feedback,last_chance_object,changes
requests_feedback,here,is,last_call_comments_arguments_against_approval
requests_feedback,here,is,last_call_comments

% received feedback
feedback_received,feedback,received
feedback_received,received,feedback
feedback_received,feedback,received,previous_draft

% active
active,pep,moved,to_active   	 $ PEP 243 moved to Active PEPs
deferred,pep,moved,to_deferred   $ PEP 233 moved to Deferred, but this will probably change to Finished once Paul updates the text.
renamed,pep,renamed		 		 $ PEP 6 is (slightly) renamed to "Bug Fix Releases"
finished,pep,moved,to_finished	 $ PEPs 205, 226, 227, 229, 235, 236 moved to Finished (although not all are marked Final yet; waiting for confirmation from PEP owners).
final,pep,marked,as_final	     $ PEP 160 marked as Final

% discussion
discussion,discussion,took,place
discussion,we,discussing,off_and_on
discussion,discussion,continued,python_dev
discussion,discussion,on,python_dev
discussion,posts,were_made
% discussion_never_end
discussion,pep_discussion,never_end
% discussion_oriented_syntax
discussion,discussion,oriented,syntax
discussion,discussion,happened,already
discussion,i,bracing,discussion
% added during checking terms in repository
discussion,sorry,jump,into_discussion
discussion,we,start,discussion
discussion,we,can_have,new_round_comments_pep
discussion,topic,saw,discussion
discussion,discussion,ranged,far	$ 	The discussions there and on comp.lang.python have ranged far and wide and thus resist summary in a finite amount of time.  '	

% discussion,all,below,commented,to,save,time,processing,-,not,required,anymore,as,they,are,really,not,discussion
% discussion,i,think,good_idea
% discussion,i,think,idea
% discussion,i,agree,suggestion
% discussion,i,would_agree,here
% discussion,i,dislike
% discussion,i,like
% discussion,i,like,idea
% discussion,i,would_prefer
% discussion,i,see,advantage
% discussion,the_proposed,syntax
% discussion,proposal,is,reasonable
% discussion,i,like,pep
% discussion,i,like,proposal
% discussion,i,think,proposal
% discussion,i,m,neutral

% people,continue
% discussion_continued,people,continuing,discussion
discussion,people,continuing,discussion
discussion,i,like,new_round_pep
discussion,i,expect,another_round_comments
discussion,i,think,another_round_review
discussion,this,is,another_round_review
discussion,i,proposing,discussion_another_round
discussion,pep,discussed,some_time
discussion,pep,s,under_discussion
discussion,pep,got,discussion
discussion,discussion,was,recently
discussion,recently,was,discussion

% Round,of,work
% all,the,following,were,"another_round_discussion"
another_round_discussion,we,need,another_round_discussion
another_round_discussion,pep,is,ready_another_round_refinement
another_round_discussion,i,proposing,discussion_another_round
another_round_discussion,i,wanted,another_round_comments


% vote
% vote,i,vote

% first,draft,round
% latest,round,of,discussion
% last,round
% last,round,of,discussion
% round,5


% responses
responses_summary,here,s,summary_responses

% off,list,discussion
off_list_discussion,we,off_list_conversation,guido
% issue_closed,i,closed,issue
previous_version_rejected,previous_version,was_rejected
previous_version_rejected,previous_version,rejected

% stalled
discussion_stalled,discussion,stalled

% updated
updated,i,made,update
updated,i,ve,updated_pep
updated,i,tweaked,pep
updated,pep,resurrected
updated,i,request,updated
% updated,pep,tweaked,still
updated,pep,tweaked,still

% bdfl,delegate,stage
bdfl_allocated,i,am,willing_bdfl
willing_bdfl,i,am,willing_bdfl




% Review
ready_for_review,guido,wants,bdfl_stick
ready_for_review,i,need,bdfl
ready_for_review,i,need,bdfap
ready_for_review,he,wants,bdfap
ready_for_review,pep,ready,review						$	PEP 391 is, I believe, ready for review.
ready_for_review,pep,is,ready_for_review				$   I believe PEP 3144 is ready for your review. 
ready_for_review,pep,ready,final_review					$	PEP 435 is ready for final review.
ready_for_review,pep,is,ready_for_final_review			$   PEP 435 is ready for final review.
ready_for_review,next,is,pep_review						$   PEP 391 is, I believe, ready for review.'
ready_for_review,i,can,pronouncement					$   Can I get a pronouncement? '
ready_for_review,pep,is,ready_pronouncement			    %	I don't think there are any outstanding tasks, so I'm happy that the PEP is ready for pronouncement.
ready_for_review,review,ready,pep
%
ready_for_review,pep,is,ready_pep_dictator				$	I think that PEP 450 is now ready for a PEP dictator.
ready_for_review,implementation,is,ready_dictator		$ 	At least two people other than myself think that the implementation is ready for a dictator, and nobody has objected.


% pep,editor
pep_editor,i,sent,pep_editor

% arguments,
% not_convinced,no_argument,is,convincing_totally

% dont,know,state maybe this leads to poll or vote
% not_asked_vote,i,not_asked,vote
% reasons for vote and maybe poll
community_consensus_unknown,i,dont_know,state_of_community_consensus	$	I've not asked for a vote and so I don't know the state of community consensus regarding this PEP
community_consensus_unknown,i,dont_know,community_consensus				$	I've not asked for a vote and so I don't know the state of community consensus regarding this PEP
state_of_community_consensus,state,of,community_consensus
author_feels_community,i,feeling,community_discussions


% complete_rewrite,
complete_rewrite,this,is,complete_rewrite_PEP
complete_rewrite_second_author,this,is,complete_rewrite_PEP_second_author

% rewriting
rewriting_needed,pep,needed,rewritten
updated,i,working,changes_to_pep
updated,pep,reworked,accordingly

% reviewed by bdfl or bdfop/czar/delegate
reviewed,i,reviewed,pep
reviewed,i,sending,review_bdfop_for_pep

rewritten,my,has,rewritten_pep
rewritten,my,rewritten_pep,now_up
rewritten,pep,is_being,rewritten

% will_revise,i,will_revise,document
updated,i,will_revise,document

% received,comments
feedback_received,favorable_comments,received
feedback_received,i,received,comments
feedback_received,which,received,comments
feedback_received,i,received,comments_on_this_proposal

% agreed
% agreed,it,was,agreed
% agreed_PEP_needed_rewritten,it,agreed,pep_rewritten
% agreed,several_people,agreed

% summarize,
asks_for_pep_summary,someone,summarize,new_material

% updated
updated,i,checked,update
updated,i,revised,document
updated,i,revise,pep
updated,i,revised,pep
updated,pep,revised
updated,pep,revised,based_feedback
updated,i,ve_updated_pep
updated,i,requested,updated
updated,here,s,updated_draft
updated,pep,been,revisions
updated,we,polished,pep
% draft_update,here,is,draft_update_for_pep
updated,here,is,draft_update_for_pep
updated,here,s,updated_draft_for_pep


comments_addressed,i,addressed,comments
comments_addressed,i,addressed,all_the_comments

% a

% b
revived,it,was,revived

% resurrected,after,discussion
% was,'resurrected_after_discussion',now,simply,updated,updated
updated,pep,resurrected,after_discussion
updated,pep,resurrected,after__discussion__python-dev


% redraft/(reproposal)
% reproposal,here,is,resurrected_pep
% was,'resurrected
updated,here,is,resurrected_pep
updated,pep,has_been,resurrected
updated,pep_redraft,proposes
updated,i,update,pep_redraft
updated,here,is,draft_update
% issues_resolved,issue,resolved
updated,issue,resolved

decided_bdfl_consensus,topics,decided,consensus_bdfl
serious_issues,all,have,serious_issues

complimentary_vote_results,i,posted,results_complementary_vote

% waiting,-,too,many,states,and,therefore,these,dont,seem,that,necessary
% waiting_accepted,pep,is_waiting,to_be_accepted
% waiting_consensus,it,waiting,consensus
% waiting_pronouncement,it,waiting,pronouncement

% wasnt,pronounced
% pep_wasnt_pronounced,pep,was_n't_pronounced,upon

no_remaining_controversy,i,do_n't_see,remaining_controversy
no_remaining_controversy,i,don't_see,remaining_controversy
no_remaining_controversy,i,see,remaining_controversy
no_remaining_issues,i,not,aware_unanswered_issues

% poll,reason
% options,people,think,various_formats

% Transitions
vote_after_discussion,vote,held,following_the_discussion

% REVIEW,DECISION,STAGE
accepted,pep,is,marked_as_accepted		$   Thanks! PEP 488 is now marked as accepted. '
accepted,pep,is|was,accepted			$   The PEP is accepted.
% accepted,pep,is|was,accepted|approved
% not sure above one works
accepted,pep,is|was,approved			$	PEP 380 is pretty much approved.
accepted,pep,accepted,pep
accepted,pep,approved,pep
accepted,pep,has_been_accepted			$ 	PEP 201 has been accepted by the BDFL
accepted,pep,accepted
accepted,pep,accepted,now
accepted,pep,is_accepted				$	The PEP is accepted.'
accepted,pep,approved
accepted,pep,gets,accepted
accepted,i,approve,pep					$	Since this is done I now approve both PEP 345 and PEP 386 (which is not to say that small editorial changes to the text couldn't be made). 
accepted,i,accept|accepted,pep
% already coded above in single line
% accepted,i,accept,pep
% accepted,i,accepted,pep
% accepted,i,accepting,ipaddrress		$ 	Based on the current version of PEP 3144 and its reference implementation, I am formally accepting ipaddress into the standardlibrary.
accepted,i,accepting,pep				$   I'm accepting the PEP. It's about as harmless as they come. Make it so.
										%   I am pleased to announce that I am accepting PEP 484 (Type Hints).'
										%	I'm now accepting the PEP, so you all can stop joking around.
accepted,i,declare,accepted
accepted,i,declare,pep_accepted			$	I hereby declare PEP 435 as Accepted.
accepted,he,accept,pep
accepted,it,s,a_deal					$	Drop the last two  bullets and it's a deal.'
accepted,pep,has,acceptance
accepted,it,was,accepted
accepted,acceptance,is,final
accepted,pep,moved,accepted
accepted,pep,accepted,for_python		$	This PEP has been formally accepted for Python 3.3.
% to,allow,pep,title,substitution
accepted,i,decided,add_pep
accepted,pep_acceptance,is,final
accepted,mark,accepted,pep
accepted,mark_pep,accepted

rejected,pep,rejected,author
