% 1. Title: OSSD Decision making structure
% 
% 2. Sources:
%      (a) training adata retrieved manually from Python repository
%      (b) www.python.org/archives
%      (c) Date: May, 2016
% 

@relation pep_test

% attribute Labelsclass {callforfeedback,bdflaskstogetfeedback,pepupdatedafterfeedback,pepupdatedafterfeedbackpositive,pepaccept,bdflaccept,bdfldelegateaccept,cobdfldelegateaccept,callforvote,thinkingofinformalvote,approvalforvote,summaryofvotes,callforpoll, consensus,noconsensus,callcomplimentaryvote,bdflpronouncementaccept,bdflpronouncementreject,pepsuperceded}
@attribute Labelsclass {callforfeedback,bdflaskstogetfeedback,pepupdatedafterfeedback,pepupdatedafterfeedbackpositive, bdfldecision,bdflaccept,bdfldecreereject, BDFL-guidance-vote,votingmethod,bdflgivesapprovalforvote,acceptancestalled,bdflofflineaccept,bdflwithdrawn,bdflrejected,bdflpronouncementpeprejected,bdflpronouncementaccept,bdflpronouncementrejected,bdflpronouncementconditionallyaccept,bdflprovisionallyaccepts,bdflpronouncement,bdflconsults,bdfldelegateaccept,cobdfldelegateaccept,authorrejectpep,askingforreview,feedbackincorporated,askforpronouncement,readyforpronouncement,pepaccept,pepaccepted,peprejected,previousversionrejected,pepreject,bdfl,bdflacceptfavourablefeedback,bdflsatisfiedaccept,pepgeneratednegative,pepdrawbacks,acceptedconsensus,whypepdelayed,pepaddressedconcerns,rejectedreason,rejectedreasonunanimity,rejectedreasonsyntax,peprejectedsuperceeded,rejectedreasonmeeting,rejectedreasonTooMuchOpposition,bdflrejectedpep,bdflrejectedpepTooMuchImpact,bdflrejectedpepTooMuchDisturbance,bdflrejectedpepStrongOpposition,bdflrejectedpepToKeepFocus,bdflrejecteddisagreement,bdflrejectpollresults,bdflrejectedpepToKeepFocus,bdflrejectedpepStrongOpposition,rejectedreason,bdflrejectedpep,peprejected,bdflrejectedpep,bdflpronouncement,bdflasks,pepfinished,pepstatusfinalandrejected,pepstatusfinal,callforvote,complimentaryvote,callforpoll,complimentaryvotereminder,thinkingofinformalvote,summaryofvotes,approvalforvote,voteheld,voteresultsinterpret,votingmethod,noopposition,consensus,noconsensus,farandwidediscussion,onsensusemerged,pepstalled,needsconsensus,twocamps,pepczar,bdflaskssomeonetobedelegate,revisions,pepsuperceded,pepacceptedafterdiscussion,peprevised,authoragreestomodify,offlineDiscussion,decisionoveriddenwithoutconsultation,important}
@attribute text String

@data

% discuses in other mailing lists
consensusbuiltinothermailinglist,'You'll notice that this draft is rather more developed than the average first-round PEP posting, because it's already been the rounds of all the various numerical package mailing lists to build consensus;no point in asking for the wrong thing.'
proposal,'I would like to purpose ..'
proposal,' This PEP proposes adding Roman numerals as a literal type .'

%call for feedback
callforfeedback,'Please read/comment/vote'
callforfeedback,'Comments?'
callforfeedback,'Your review and comments are invited for PEP 279:'
callforfeedback,'So, I guess as far as I'm concerned, this is ready to go. Feedback welcome:'
callforfeedback,'please review the new more final draft of the pep and send out suggestions and feedback .'
callforfeedback,'Please take a look and express your approval or disapproval (+1, +0, -0,-1, or whatever). '
callforfeedback,'Please send suggestions for editorial improvements to peps at python.org. '
callforfeedback,'Feedback (also about misrepresentation of alternatives I don't favor) is most welcome, either to me directly or as a followup to this post.'
bdflaskstogetfeedback,'please take this to c.l.py for feedback!'
%
pepupdatedafterfeedback,'After some very good python-dev feedback on my first version of PEP 471, I've updated the PEP to clarify a few things and added various "Rejected ideas" subsections.'
pepupdatedafterfeedback,'I believe I have incorporated into the PEP comments from people both here and on python-list. '
pepupdatedafterfeedbackpositive,'There have been comments in favour of the proposal, no objections to the proposal as a whole, and some questions and objections about specific details.'
pepupdatedafterfeedback,'I believe I have addressed these with changes to the PEP.'
peprewritten,'My rewritten version of PEP 414 is now up'

% BDFL 
bdfldecision,'So enumerate() it is.  '
bdflaccept,'This PEP was accepted by the BDFL on November 22.'
bdflaccept,'PEP 201 has been accepted by the BDFL'
bdflaccept,'This proposal has been accepted by the BDFL'
bdflaccept,'Both PEP 201 Lockstep Iteration and SF patch #101030 have been accepted by the BDFL.'
bdflaccept,'PEP 214 Extended print Statement has been accepted by the BDFL.'
bdflaccept,'Awesome, that's what I was hoping. Accepted! Congrats and thank you very much for writing the PEP and guiding the discussion.'
bdfldecreereject,'pep 224 is rejected by bdfl decree'
bdfldecreereject,'PEP 295 is rejected by BDFL decree.'
bdflaccept,'PEP 488 is now marked as accepted.'
bdflaccept,'Since this is done I now approve both PEP 345 and PEP 386 (which is not to say that small editorial changes to the text couldn't be made). '

BDFL-guidance-vote,'BDFL-guidance-vote.'

votingmethod,'Half of the 308 problem was because Guido wasn't willing to make a decision. The other half was the voting method used.'
bdflgivesapprovalforvote,'You have my approval to hold a vote.'

acceptancestalled,'I'm not entirely sure why acceptance got stalled the way it did. '

