@relation pep_test

@attribute Labelsclass{propose-syntax,syntax-accepted,proposal,sig-proposed,sig-positive,first-draft,latest-draft,pep-checked-in,discussion,discussion-for-long-time,discussion-continued-on-and-off,discussion-may-never-end,discussion-at-conference,pep-discussion-direction,offline-discussion,more-work-needed,agreed-to-rewrite-pep,pep-rewritten-several-times,author-changes-pep,pep-revised,bdfl-asks-for-pep-summary,pep-submitted-rejected,change-primary-pep-author,willing-to-be-bdfl,waiting-for-bdfl-pronouncement,pep-maybe-a-bdfl-decision,thinking-that-consensus,few-alternatives-proposed,shouting-accusations,back-to-sqaure-one,something-else-to-proposal,pep-needs-update,pep-updated-to-current-state-of-play-in-community,discussion-around-syntax,need-decision,remaining-issue,call-for-feedback,pep-ready-for-review,author-made-changes-to-pep,author-will-revise,author-taken-comments-into-account,requesting-pronouncement,pep-author-addressed-all-comments-made-changes,bdfl-asking-if-consensus,pep-maynot-require-discussion,pep-author-made-changes,pep-author-doesnt-know-consensus,pep-author-thinks-community-favourable,community-commented,pep-accepted-after-discussion,author-agrees-to-modify,bdfl-accepted,pep-accepted,bdfl-offline-accept,bdfl-decision,bdfl-rejected,bdfl-decree-rejected,bdfl-decree-reject,bdfl-withdrawn,bdfl-pronouncement,bdfl-pronouncement-accept,bdfl-pronouncement-pep-rejected,bdfl-pronouncement-rejected,bdfl-pronouncement-conditionally-accepted,bdfl-provisionally-accepts,bdfl-consults,bdfl-decided,bdfl-asks-to-apply,bdfl-delegate-accept,co-bdfl-delegate-accept,author-reject-pep,asking-for-review,feedback-incorporated,asks-for-pronouncement,ready-for-pronouncement,pep-updated,ask-bdfl-pronouncement,pep-rejected,previousversionrejected,pep-finished,pep-status-draft,pep-status-accepted,pep-status-final,pep-status-final-rejected,pep-implementated,call-for-vote,vote,complimentary-vote,call-for-poll,poll,poll-result,poll-closed,complimentary-vote-reminder,vote-goahead,thinking-of-informal-vote,summary-of-votes,approval-for-vote,vote-held,vote-results,vote-results-interpret,voting-method,no-opposition,community-thinks-bdfl-mistake,community-preference,strong-preference,community-thinks-bdfl-mistaken,consensus,no-consensus,no-consensus-to-drop-pep,far-and-wide-discussion,consensus-merged,pep-stalled,pep-needs-consensus,two-camps,pepczar,bdfl-asks-someone-to-be-delegate,pep-superceded,pep-included-in-release,pep-release-nearing,decision-overidden-without-consultation,important,little_support}
@attribute text String

@data
%syntax
propose-syntax,'Proposed Syntax'
propose-syntax,'Bear with me, but I\'d like to propose one more syntax that is simple, easy for newbies to understand,  and nowhere near as powerful as the current PEP\'s syntax.  '
syntax-accepted,'The syntax accepted for 2.4a2 is::'

%proposal
proposal,'I present to you PEP 488 for discussion.'
proposal,'I would like to purpose ..'
proposal,' This PEP proposes adding Roman numerals as a literal type .'
proposal,'My humble hope is that this document helps to improve the quality of the ongoing discussion.'

%proposal in another list
sig-proposed,'Over on the import-sig I proposed '
sig-positive,'Everyone on the SIG was positive with the idea so I wrote a PEP, got positive feedback from the SIG again, and so now I present to you PEP 488 for discussion.'

%drsfts
first-draft,'This is the first draft of a PEP describing new syntax for applying function modifiers (e.g. classmethod, staticmethod, etc). '
latest-draft,'Here is the latest draft of the PEP. '
pep-checked-in,'A new PEP was checked in:'

%discussion
discussion,'After submitting it to BDFL for approval, more work was needed and the discussion of PEP 318 on python-dev increased rapidly.'
discussion-for-long-time,'We\'ve been discussing this off and on for OVER A YEAR!'
discussion-continued-on-and-off,'The discussion continued on and off on python-dev from February 2002'
discussion,'Many hundreds of posts were made, with people proposing many possible syntax variations.  '
discussion,'There has been a overwhelming amount of discussion on this.'
discussion,'After submitting it to BDFL for approval, more work was needed and the discussion of PEP 318 on python-dev increased rapidly.'
discussion,'Hundreds and hundreds of posts were made, with people proposing many possible syntax variations.  '
discussion-may-never-end,'PEP 318 and the discussion that will never end'
discussion-at-conference,'Guido took a list of proposals to `EuroPython 2004`_, where a discussion took place. '

pep-discussion-direction,'Personally, I believe discussion over PEP 318 has wandered from an implementation and practical purity, into a syntactical nightmare.'
pep-discussion-direction,'What most of the discussion came down to was syntax and the order of application.  '

offline-discussion,'We had a short off-list conversation with Guido on PEP 376'

%revision
more-work-needed,'After submitting it to BDFL for approval, more work was needed and the discussion of PEP 318 on python-dev increased rapidly.'
agreed-to-rewrite-pep,'In the end it was agreed the PEP needed to be thoroughly rewritten which has not occurred yet.'
pep-rewritten-several-times,'Decorators Pep" and received various rounds of rewrites, none Michael of which have pleased everyone (surprised?  with this topic).'
author-changes-pep,'I\'m working on changes to PEP 318 which incorporate class decorators.'
pep-revised,'After unprecedented community response (very food arguments were made both pro and con) this PEP has been revised with the help of Raymond Hettinger.'
