@relation pep_test

@attribute Labelsclass {proposal,callforfeedback, bdflaccept,bdflofflineaccept,bdfldecision,bdflrejected, bdfldecreereject, bdflwithdrawn, bdflpronouncement,bdflpronouncementaccept,bdflpronouncementpeprejected,bdflpronouncementrejected,bdflpronouncementconditionallyaccept,bdflprovisionallyaccepts,bdflconsults,bdfldelegateaccept,cobdfldelegateaccept,authorrejectpep, askingforreview, feedbackincorporated,askforpronouncement,readyforpronouncement,pepaccept,pepaccepted,pepreject,peprejected,previousversionrejected,pepfinished, pepstatusfinal,pepstatusfinalandrejected,callforvote,callforpoll,complimentaryvotereminder, thinkingofinformalvote,summaryofvotes,approvalforvote,voteheld,voteresultsinterpret,votingmethod,noopposition, complimentaryvote,consensus,noconsensus,farandwidediscussion,consensusemerged,pepstalled,needsconsensus,twocamps,pepczar,bdflaskssomeonetobedelegate,revisions,pepsuperceded,pepacceptedafterdiscussion,peprevised,authoragreestomodify,offlineDiscussion,decisionoveriddenwithoutconsultation,important}
@attribute text String

@data
%proposal
proposal,'I would like to purpose ..'
proposal,' This PEP proposes adding Roman numerals as a literal type .'
first-draft,'This is the first draft of a PEP describing new syntax for applying function modifiers (e.g. classmethod, staticmethod, etc). '
author-will-revise,'I have already received a few comments and will revise the document soon.'
author-taken-comments-into-account,'I have received many comments on this proposal already and have taken them into account in this proposal. '
new-pep-was-checked-in,'A new PEP was checked in:'
no-consensus,'I'm afraid that absolutely zero consensus is emerging :( I\'ve withdrawn myself entirely from the discussions as they\'ve proven completely useless.'
pep-discussion,'After submitting it to BDFL for approval, more work was needed and the discussion of PEP 318 on python-dev increased rapidly.'
more-work-needed-discussion,'After submitting it to BDFL for approval, more work was needed and the discussion of PEP 318 on python-dev increased rapidly.'
community-thinks-bdfl-mistake,'I don\'t know about consensus, but there are a considerable number of people who think you're mistaken (it\'s gotten pretty heated over on c.l.py at times).'
bdfl-asks-if-anyone-trying,' Is anybody seriously trying to come up with a single alternative decorator proposal that most folks "out there" can support, to be presented to me (with implementation, please!) in time for 2.4b1? '
poll, 'There was a poll linked from the decorators wiki, that now says (consider the poll now closed). '
poll-results,'If it were a democracy, the standings are: '
community-preference,'I think it\'s important to understand that we\'re now down to aesthetic choices about elegance, readability, ease of use, etc. For those reasons, we\'ll never agree because everyone has different tastes. '
support-bdfl,'Python represents Guido's aesthetic in language design, and we all agree that he gets most such decisions right, so I trust him on this one too and I was /not/ a pie-decorator fan originally. '
bdfls-version-accepted,'rejected http://bugs.python.org/issue926860 guidos veersion accepted'
