PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean number these items , i e. assign a number to each one .
PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean -- number these items , i e. assign a number to each one . .
PEP 279 | draft| discussion | four syllables is a little long enum pithy less clear than enumerate too similar to enum in other languages where it has a different meaning|Voter Information -LRB- recap of earlier discussions -RRB- :
PEP 279 | draft| say | four syllables is a little long enum pithy less clear than enumerate too similar to enum in other languages where it has a different meaning|= list -LRB- itemize -LRB- amap -RRB- -RRB- enumerate -LRB- -RRB- -- does what is says .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ Pronouncement + + In commenting on PEP 279 's enumerate -LRB- -RRB- function , this PEP 's author + offered , `` I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ + On 17 June 2005 , the BDFL concurred with it being obsolete and + hereby rejected the PEP .
PEP 279 | updated| discussion | PEP 279 is still being tweaked .|Hopefully , it will trigger some discussion on the iterators maillist . .
PEP 279 | updated| pronounce | PEP 279 is still being tweaked .|It 's pre-mature to ask for pronouncement because only one of the top Python people has given any commentary .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I expect to put in a version 1.5 update this weekend and go through another round of comments .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I 've gotten many comments from other folks and have remedied any defects they 've pointed out .
PEP 279 | updated| discussion | PEP 279 is still being tweaked .|Hopefully , it will trigger some discussion on the iterators maillist . .
PEP 279 | updated| pronounce | PEP 279 is still being tweaked .|It 's pre-mature to ask for pronouncement because only one of the top Python people has given any commentary .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I expect to put in a version 1.5 update this weekend and go through another round of comments .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I 've gotten many comments from other folks and have remedied any defects they 've pointed out .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ Pronouncement + + In commenting on PEP 279 's enumerate -LRB- -RRB- function , this PEP 's author + offered , `` I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ + On 17 June 2005 , the BDFL concurred with it being obsolete and + hereby rejected the PEP .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ Pronouncement + + In commenting on PEP 279 's enumerate -LRB- -RRB- function , this PEP 's author + offered , `` I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ + On 17 June 2005 , the BDFL concurred with it being obsolete and + hereby rejected the PEP .
PEP 279 | updated| discussion | PEP 279 is still being tweaked .|Hopefully , it will trigger some discussion on the iterators maillist . .
PEP 279 | updated| pronounce | PEP 279 is still being tweaked .|It 's pre-mature to ask for pronouncement because only one of the top Python people has given any commentary .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I expect to put in a version 1.5 update this weekend and go through another round of comments .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I 've gotten many comments from other folks and have remedied any defects they 've pointed out .
PEP 279 | updated| discussion | PEP 279 is still being tweaked .|Hopefully , it will trigger some discussion on the iterators maillist . .
PEP 279 | updated| pronounce | PEP 279 is still being tweaked .|It 's pre-mature to ask for pronouncement because only one of the top Python people has given any commentary .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I expect to put in a version 1.5 update this weekend and go through another round of comments .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I 've gotten many comments from other folks and have remedied any defects they 've pointed out .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP null | | arguments | |Made code samples self-consistent , and also consistent with Python style guide w.r.t. spaces around function arguments .
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ Pronouncement + + In commenting on PEP 279 's enumerate -LRB- -RRB- function , this PEP 's author + offered , `` I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279 | accepted| obsolete | Subsequently , PEP 279 was accepted into Python 2.3 .|+ + On 17 June 2005 , the BDFL concurred with it being obsolete and + hereby rejected the PEP .
PEP 279 | updated| discussion | PEP 279 is still being tweaked .|Hopefully , it will trigger some discussion on the iterators maillist . .
PEP 279 | updated| pronounce | PEP 279 is still being tweaked .|It 's pre-mature to ask for pronouncement because only one of the top Python people has given any commentary .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I expect to put in a version 1.5 update this weekend and go through another round of comments .
PEP 279 | updated| comments | PEP 279 is still being tweaked .|I 've gotten many comments from other folks and have remedied any defects they 've pointed out .
PEP 279 | updated| discussion | PEP 279 is still being tweaked .|Hopefully , it will trigger some discussion on the iterators maillist . .
