PEP 279| draft | list itemize amap enumerate does what is says . | four syllables is a little long enum pithy less clear than enumerate too similar to enum in other languages where it has a different meaning | say | list itemize amap enumerate does what is says .
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | obsolete | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | _comment | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | obsolete | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | _comment | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | obsolete | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | _comment | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | obsolete | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | _comment | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | obsolete | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279| accepted | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . '' | Subsequently , PEP 279 was accepted into Python 2.3 . | _comment | Pronouncement In commenting on PEP 279 's enumerate function , this PEP 's author offered , I 'm quite happy to have it make PEP 281 obsolete . ''
