PEP 1 | accepted| discussion | need not be completed before the PEP is accepted .|Modified Files : pep-0001.txt Log Message : Fleshed out the bulk of the guidelines , after internal discussion among the PEP authors and the BDFL .
PEP 1 | accepted| discussion | need not be completed before the PEP is accepted .|Modified Files : pep-0001.txt Log Message : Fleshed out the bulk of the guidelines , after internal discussion among the PEP authors and the BDFL .
PEP 1 | accepted| discussion | need not be completed before the PEP is accepted .|Modified Files : pep-0001.txt Log Message : Fleshed out the bulk of the guidelines , after internal discussion among the PEP authors and the BDFL .
PEP 1 | accepted| discussion | need not be completed before the PEP is accepted .|Modified Files : pep-0001.txt Log Message : Fleshed out the bulk of the guidelines , after internal discussion among the PEP authors and the BDFL .
PEP null | | discussion | |However I think it 's not wrong first to figure out how a good Path-module should look like and then start implementing and continue discussion .
PEP 8 | proposal| consensus | This PEP proposes a Docstring Processing System DPS framework .|- It separates out the components -LRB- program and conceptual -RRB- , enabling - the resolution of individual issues either through consensus -LRB- one - solution -RRB- or through divergence -LRB- many -RRB- .
PEP 8 | proposal| consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .|This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP 8 | proposal| consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .|- It separates out the components -LRB- program and conceptual -RRB- , enabling - the resolution of individual issues either through consensus -LRB- one - solution -RRB- or through divergence -LRB- many -RRB- .
PEP 8 | proposal| consensus | This PEP proposes a Docstring Processing System DPS framework .|- It separates out the components -LRB- program and conceptual -RRB- , enabling - the resolution of individual issues either through consensus -LRB- one - solution -RRB- or through divergence -LRB- many -RRB- .
PEP 8 | proposal| consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .|This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP 8 | proposal| consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .|- It separates out the components -LRB- program and conceptual -RRB- , enabling - the resolution of individual issues either through consensus -LRB- one - solution -RRB- or through divergence -LRB- many -RRB- .
PEP 8 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 8 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing string was the best way to do this or not .
