PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 8| rejected | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 8| rejected | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 8| rejected_by_author | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 0| proposal | Traditionally , setup.py has n't provided ready support for the installation of applications . | This PEP proposes that the task of registering python applications becomes much simpler with the addition of an application section specifically oriented to assist developers get their applications registered on the user desktop . | support | Traditionally , setup.py has n't provided ready support for the installation of applications .
PEP 0| vote | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | Following the discussion , a vote was held . | discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior .
PEP 0| vote | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | Following the discussion , a vote was held . | discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior .
PEP 0| vote_after_discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | Following the discussion , a vote was held . | discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior .
PEP 0| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | support | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 0| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | majority | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 0| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | support | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 0| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | majority | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 0| proposal | There 's no support for parsing strings in various formats and returning a corresponding instance of one of the types . | This PEP proposes adding a family of predefined parsing function for several commonly used date and time formats , and a facility for generic parsing . | support | There 's no support for parsing strings in various formats and returning a corresponding instance of one of the types .
PEP 0| bdfl_pronouncement | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax .
PEP 0| bdfl_pronouncement | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax .
PEP 0| updated | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax .
PEP 0| rejected | txt Mon Feb 26 01 35 06 2007 3,7 3,7 Version Revision Last Modified Date Author guido at python.org Guido van Rossum Status Draft Status Rejected Type Standards Track Python Version 3.0 Content Type text x rst 11,6 11,13 Post History 26 Jun 2006 Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support . | I therefore reject it . | support | txt Mon Feb 26 01 35 06 2007 3,7 3,7 Version Revision Last Modified Date Author guido at python.org Guido van Rossum Status Draft Status Rejected Type Standards Track Python Version 3.0 Content Type text x rst 11,6 11,13 Post History 26 Jun 2006 Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support .
PEP 0| rejected | txt Mon Feb 26 01 35 06 2007 3,7 3,7 Version Revision Last Modified Date Author guido at python.org Guido van Rossum Status Draft Status Rejected Type Standards Track Python Version 3.0 Content Type text x rst 11,6 11,13 Post History 26 Jun 2006 Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support . | I therefore reject it . | no_popular_support | txt Mon Feb 26 01 35 06 2007 3,7 3,7 Version Revision Last Modified Date Author guido at python.org Guido van Rossum Status Draft Status Rejected Type Standards Track Python Version 3.0 Content Type text x rst 11,6 11,13 Post History 26 Jun 2006 Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support .
PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 6| proposal | In discussions , people often consider short lived '' as shorter than five years '' . | So the PEP proposes to produce security releases for five years after the initial release this would mean that we are willing to make security releases for 2.3 until July 2008 and 2.4 until November 2009 . | discussion | In discussions , people often consider short lived '' as shorter than five years '' .
