PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | rejected | superseded | it | superseded | pep | txt , v retrieving revision 1.9 retrieving revision 1.10 diff C2 d r1 .9 r1 .10 pep 0216.txt 1 Apr 2002 15 31 11 0000 1.9 pep 0216.txt 1 Apr 2002 15 57 27 0000 1.10 6,14 Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 0 | rejected | superseded | it | superseded | pep | txt , v retrieving revision 1.9 retrieving revision 1.10 diff C2 d r1 .9 r1 .10 pep 0216.txt 1 Apr 2002 15 31 11 0000 1.9 pep 0216.txt 1 Apr 2002 15 57 27 0000 1.10 6,14 Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 0 | rejected | superseded | it | superseded | pep | txt , v retrieving revision 1.9 retrieving revision 1.10 diff C2 d r1 .9 r1 .10 pep 0216.txt 1 Apr 2002 15 31 11 0000 1.9 pep 0216.txt 1 Apr 2002 15 57 27 0000 1.10 6,14 Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 0 | rejected_by_author | superseded | it | superseded | pep | txt , v retrieving revision 1.9 retrieving revision 1.10 diff C2 d r1 .9 r1 .10 pep 0216.txt 1 Apr 2002 15 31 11 0000 1.9 pep 0216.txt 1 Apr 2002 15 57 27 0000 1.10 6,14 Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 0 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 0 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 0 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 0 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 0 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 0 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 0 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 0 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 0 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 0 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 0 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 0 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 216 | rejected | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 216 | rejected | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 216 | rejected | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 216 | rejected_by_author | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 216 | rejected | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 216 | rejected | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 216 | rejected | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 216 | rejected_by_author | superseded | it | superseded | pep | Status Rejected Type Informational Created 31 Jul 2000 Notice This PEP is rejected by the author .
PEP 233 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 233 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
