PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 0 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 233 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 233 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 233 | proposal | progress_stalled | progress | seems | stalled | Progress on this seems to have stalled , so I propose marking it Deferred '' and moving it out of the active PEP category to where , I 'm not yet sure .
PEP 265 | rejected | consensus | no | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | one | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | no one | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | no | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | one | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | no one | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | no | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | one | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | no one | disagreed |  | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 303 | rejected | no_one_spoke_for | no | spoke | for it | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | one | spoke | for it | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | no | spoke | for it | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | one | spoke | for it | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | no | spoke | for it | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | one | spoke | for it | No one spoke up for it and some against , so it is now rejected .
PEP 336 | bdfl_pronouncement | consensus | many people | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | bdfl_pronouncement | consensus_including_bdfl | many people including guido | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | consensus_including_bdfl | consensus | many people | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | consensus_including_bdfl | consensus_including_bdfl | many people including guido | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | rejected | consensus | many people | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | rejected | consensus_including_bdfl | many people including guido | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | rejected | consensus | many people | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | rejected | consensus_including_bdfl | many people including guido | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | bdfl_pronouncement | consensus | many people | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | bdfl_pronouncement | consensus_including_bdfl | many people including guido | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
PEP 336 | consensus_including_bdfl | consensus | many people | agreed |  | Many people , including Guido , agreed , and the PEP was rejected .
