PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 322 | bdfl_pronouncement_accepted | bdfl pronouncement | Status Accepted Type Standards Track Content Type textx rst 79,82 79,89 A C implementation and unit tests are at http www.python.orgsf834422 BDFL Pronouncement This PEP has been conditionally accepted for Py2 .4 . | Status Draft Type Standards Track Content Type textx rst 4,8 Last Modified Date Author Raymond Hettinger python rcn.com ! | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type textx rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 245 | bdfl_pronouncement_rejected | bdfl pronouncement | PEP 245 was rejected by BDFL pronouncement . | It then depends on the details . | This is how things are ultimately decided   by BDFL pronouncement .
PEP 276 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP was rejected on 17 June 2005 with a note to python dev . | Such an iterator would simplify the coding of certain for loops in Python . | 
PEP 313 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type textplain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 336 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 17 43 00 0000 1.2 15,6 15,14 None should be a callable object that when called with any arguments has no side effect and returns None . | 
PEP 2 | superseded | superseded | txt 2,13 2,18 Title Procedure for Adding New Modules Version Revision Last Modified Date Author faassen at infrae.com Martijn Faassen Status Active Author Martijn Faassen faassen at infrae.com Status Final Type Process Created 07 Jul 2001 Post History 07 Jul 2001 , 09 Mar 2002 PEP Replacement This PEP has been superseded by the updated material in the Python Developer 's Guide 1 . | txt bpep 0002 . | 
PEP 287 | superseded | superseded | It has been superseded by PEP 287 . | txt PEP 287 Title reStructuredText Standard Docstring Format Version Revision 1.1 Last Modified Date 20020401 15 57 27 Author goodger users.sourceforge.net David Goodger Discussions To doc sig python.org Status Draft Type Informational Created 25 Mar 2002 Post History Replaced By PEP 287 Notice This PEP is rejected by the author . | Abstract
PEP 344 | superseded | superseded | PEP 344 Exception Chaining and Embedded Tracebacks superseded http legacy.python.orgdevpepspep 0344 | PEP 3134 Exception Chaining and Embedded Tracebacks final http legacy.python.orgdevpepspep 3134 | 
PEP 344 | superseded | superseded | PEP 344 Exception Chaining and Embedded Tracebacks superseded http legacy.python.orgdevpepspep 0344 | PEP 3134 Exception Chaining and Embedded Tracebacks final http legacy.python.orgdevpepspep 3134 | 
PEP 354 | superseded | superseded | Todo Mark PEP 354 superseded by '' this one New package name within stdlib from enum import make creates a not very descriptive make '' name . | http mail.python.orgpipermailpython ideas2013 February019373.html Copyright This document has been placed in the public domain . | 
PEP 354 | superseded | superseded | Mark PEP 354 superseded by '' this one , if accepted | Todo | 
PEP 354 | superseded | superseded | 8 http pythonhosted.orgflufl.enum Copyright 608,7 556,8 Todo Mark PEP 354 superseded by '' this one , if accepted Mark PEP 354 superseded by '' this one , if accepted The last revision where flufl . | 7 http mail.python.orgpipermailpython dev2013 May125859.html . . | 
PEP 354 | superseded | superseded | Mark PEP 354 superseded by '' this one , if accepted The last revision where flufl . | Todo | 
PEP 354 | superseded | superseded | Marked PEP 354 as superseded by PEP 435 . | http hg.python.orgpepsrevbd3de993d6e2 changeset 4881 bd3de993d6e2 user Eli Bendersky eliben at gmail.com date Fri May 10 05 45 20 2013 0700 summary | files   pep 0354 .
PEP 354 | superseded | superseded | Todo Mark PEP 354 superseded by '' this one , if accepted In docs describe the detailed extension API i.e. new . | 9 http docs.python.org3howtodescriptor.html Copyright This document has been placed in the public domain . | 
PEP 354 | superseded | superseded | Todo Mark PEP 354 superseded by '' this one , if accepted In docs describe the detailed extension API i.e. new . | 9 http docs.python.org3howtodescriptor.html Copyright This document has been placed in the public domain . | 
PEP 409 | superseded | superseded | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror . | The generic PyErr ChainExceptions exc type , exc value , exc tb should be used to chain exceptions with these helper functions . | 
PEP 409 | superseded | superseded | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 | PEPs | 
