PEP 2 | proposal| feedback | This PEP proposes a transitional state for modules inclusion in a special preview package for the duration of a minor release roughly 18 months prior to full acceptance into the standard library .|If the module ends up graduating into the standard library after + spending a minor release in `` __ preview __ `` , its API may be changed according + to accumulated feedback .
PEP 2 | proposal| support | No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module .|No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module .
PEP 8 | proposal| consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .|This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP 9 | proposal| debate | Rewritten using reStructuredText , this PEP could look like this Abstract This PEP proposes adding frungible doodads to the core .|are ideas which + require more thought and debate ; they are potential to-do 's .
PEP 11 | proposal| support | To reduce this risk , this PEP proposes a procedure to remove code for platforms with no Python users .|The growing amount of these fragments poses the risk of unmaintainability : without having experts for a large number of platforms , it is not possible to determine whether a certain change to the Python source code will work on all supported platforms .
PEP 11 | proposal| support | To reduce this risk , this PEP proposes a procedure to remove code for platforms with no Python users .|Unsupporting platforms
PEP 211 | proposal| consensus | This PEP proposes the minimum effective change to Python syntax that will allow us to drain this swamp .|Because this way is compatible with the existing consensus , and because it gives us a consistent rule that all the built-innumeric operators also apply in an elementwise manner to arrays ; thereverse convention would lead to more special cases . -RRB- .
PEP 211 | proposal| majority | This PEP proposes the minimum effective change to Python syntax that will allow us to drain this swamp .|In practice , the vast majority of projects have settled on theconvention of using `` \* `` for elementwise multiplication , and functioncall syntax for matrix multiplication -LRB- e.g. , using `` numpy .
PEP 211 | proposal| consensus | This PEP proposes the minimum effective change to Python syntax that will allow us to drain this swamp .|However , a number of projects have reached + consensus on the recommended semantics for these operations ; see + ` Intended usage details ` _ below .
PEP 211 | proposal| consensus | This PEP proposes a new binary operator to be used for matrix multiplication , called .|However , a number of projects have reached consensus on the recommended semantics for these operations ; see - ` Intended usage details ` _ below .
PEP 215 | proposal| discussion | PEP 215 proposes a new string prefix representation such as '' '' which signal to Python that a new type of string is present .|txt Log Message : Updated based on recent Pycon discussions , with a pointer to the SF patchcontaining the reference implementation .
PEP 215 | proposal| discussion | PEP 215 proposes a new string prefix representation such as '' '' which signal to Python that a new type of string is present .|txt Log Message : Updated based on recent Pycon discussions , with a pointer to the SF patchcontaining the reference implementation .
PEP 215 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string .|To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string .
PEP 215 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string .|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 215 | proposal| support | Proposal This PEP proposes that the new syntax value !|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 215 | proposal| support | This PEP also proposes the introduction of three new builtin functions , interpolate , interpolateb and interpolateu , which implement key aspects of the interpolation process , and may be overridden in accordance with the usual mechanisms for shadowing builtin functions .|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 215 | proposal| support | This PEP proposes to handle the latter issue by always specifying an explicit interpolator for interpolation operations , and the former by adopting the string .|Template -RRB- and its predecessor-PEP 215 -LRB- which proposed syntactic support , rather than a runtime string-manipulation based approach -RRB- .
PEP 221 | proposal| support | Rationale This PEP proposes a small extention of current Python syntax regarding the import ' and from module import ' statements .|It contains a + description of the feature and outlines changes necessary to + support the feature .
PEP 221 | proposal| support | Rationale This PEP proposes a small extention of current Python syntax regarding the import ' and from module import ' statements .|It contains a - description of the feature and outlines changes necessary to - support the feature .
PEP 221 | proposal| support | Currently , a round about way has to be used to achieve this This PEP proposes an extention of Python syntax regarding the import ' and from module import ' statements .|It contains a - description of the feature and outlines changes necessary to - support the feature .
PEP 222 | proposal| discussion | This PEP proposes a numeric model for Python that is n't based on C 's model , which ultimately derives from machine representations of integers and floats .|The ensuing discussion was scattered , mostly revolving around whetherand when to use rational numbers , and whether floating point literalsshould be considered exact or inexact numbers .
PEP 225 | proposal| consensus | This PEP proposes the minimum effective change to Python syntax that will allow us to drain this swamp .|Because this way is compatible with the existing consensus , and because it gives us a consistent rule that all the built-innumeric operators also apply in an elementwise manner to arrays ; thereverse convention would lead to more special cases . -RRB- .
PEP 225 | proposal| majority | This PEP proposes the minimum effective change to Python syntax that will allow us to drain this swamp .|In practice , the vast majority of projects have settled on theconvention of using `` \* `` for elementwise multiplication , and functioncall syntax for matrix multiplication -LRB- e.g. , using `` numpy .
PEP 225 | proposal| consensus | This PEP proposes the minimum effective change to Python syntax that will allow us to drain this swamp .|However , a number of projects have reached + consensus on the recommended semantics for these operations ; see + ` Intended usage details ` _ below .
PEP 234 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 234 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 234 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 234 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 234 | proposal| support | This PEP proposes the addition of an iterator for the builtin type int types .|Python 2.1 added new functionality to support iterators -LRB- 1 -RRB- .
PEP 234 | proposal| feedback | This PEP proposes several ways to fix this wart .|The problem was discussed repeatedly but the specific solutionsproposed in this PEP need more feedback .
PEP 246 | proposal| support | The XML snippet for interface definition was exactly the kind of thing that I have proposed in the earliest days of PEP 246 when it was called query .|The question is , do we need to add explicit support for interfaces to the language ?
PEP 250 | proposal| support | This PEP proposes that the site packages directory should be used uniformly across all platforms for locally installed modules .|py module distributed with Python includes support for locating other modules in the site-packages directory .
PEP 250 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .
PEP 250 | proposal| support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .|It is part of folklore , and most 3rd party extensions support it because they follow examples that support it .
