PEP 11| proposal | support | To reduce this risk , this PEP proposes a procedure to remove code for platforms with no Python users .| Unsupporting platforms | Unsupporting platforms
PEP 11| updated | support | I 've updated PEP 11 accordingly .| So , one of the first things we should do after 2.3 is released is make a pass through PEP 11 and unsupport a bunch of stuff . | So , one of the first things we should do after 2.3 is released is make a pass through PEP 11 and unsupport a bunch of stuff .
PEP 234| proposal | feedback | This PEP proposes several ways to fix this wart .| The problem was discussed repeatedly but the specific solutions proposed in this PEP need more feedback . | The problem was discussed repeatedly but the specific solutions proposed in this PEP need more feedback .
PEP 246| rejected | discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .| Part of this discussion forked off to discuss exception masking . | Part of this discussion forked off to discuss exception masking .
PEP 246| rejected | discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .| Part of this discussion forked off to discuss exception masking . | Part of this discussion forked off to discuss exception masking .
PEP 250| proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .| One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 251| proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types .| One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 255| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 255| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 263| updated | support | So after discussion with MAL , I have updated the PEP to reflect this strategy .| There are only minimal user visible changes     more encodings can be supported even in phase 1 , in particular those based on ISO 2022    provided that the proper codecs are available  )    it is now an error if the declared encoding and the text do not match . | There are only minimal user visible changes     more encodings can be supported even in phase 1 , in particular those based on ISO 2022    provided that the proper codecs are available  )    it is now an error if the declared encoding and the text do not match .
PEP 280| rejected | discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .| Part of this discussion forked off to discuss exception masking . | Part of this discussion forked off to discuss exception masking .
PEP 280| rejected | discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .| Part of this discussion forked off to discuss exception masking . | Part of this discussion forked off to discuss exception masking .
PEP 287| accepted | consensus | I would n't object to seeing this PEP approved as an informational PEP that described reST as an optional format for docstrings .|    I 'm assuming that there is consensus in the doc sig that reST is the right solution .  )  |    I 'm assuming that there is consensus in the doc sig that reST is the right solution .  ) 
PEP 287| accepted | consensus | I would n't object to seeing this PEP approved as an informational PEP that described reST as an optional format for docstrings .|    I 'm assuming that there is consensus in the doc sig that reST is the right solution .  )  |    I 'm assuming that there is consensus in the doc sig that reST is the right solution .  ) 
PEP 289| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 289| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 289| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289| updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form .| The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 308| updated | feedback | I 've now updated the PEP to the current state of play , which is pretty much done .| If there 's no significant feedback , I 'll post this to c.l. py tomorrow . | If there 's no significant feedback , I 'll post this to c.l. py tomorrow .
PEP 317| rejected | discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .| Part of this discussion forked off to discuss exception masking . | Part of this discussion forked off to discuss exception masking .
PEP 317| rejected | discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .| Part of this discussion forked off to discuss exception masking . | Part of this discussion forked off to discuss exception masking .
PEP 318| updated | support | I 'm working on changes to PEP 318 which incorporate class decorators .| Michael Hudson 's latest patch supports them . | Michael Hudson 's latest patch supports them .
