PEP 11| proposal | The growing amount of these fragments poses the risk of unmaintainability without having experts for a large number of platforms , it is not possible to determine whether a certain change to the Python source code will work on all supported platforms . | To reduce this risk , this PEP proposes a procedure to remove code for platforms with no Python users . | support | The growing amount of these fragments poses the risk of unmaintainability without having experts for a large number of platforms , it is not possible to determine whether a certain change to the Python source code will work on all supported platforms .
PEP 11| updated | Under PEP 11 , we have to keep the support code in Python 2.3 , and can only start removing it in Python 2.4 . | I 've updated PEP 11 accordingly . | support | Under PEP 11 , we have to keep the support code in Python 2.3 , and can only start removing it in Python 2.4 .
PEP 11| updated | Under PEP 11 , we have to keep the support Martin code in Python 2.3 , and can only start removing it in Python Martin 2.4 . | I 've updated PEP 11 accordingly . | support | Under PEP 11 , we have to keep the support Martin code in Python 2.3 , and can only start removing it in Python Martin 2.4 .
PEP 234| decided_bdfl_consensus | There is still discussion about whether 334,403 and found that the latter is only about 7 faster . | Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | discussion | There is still discussion about whether 334,403 and found that the latter is only about 7 faster .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 246| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
