PEP 2 | proposal | support | No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module . | from engine sysengine to start with a copy of the process global import state . | 
PEP 8 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 9 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 215 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string . | system call . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 234 | decided_bdfl_consensus | consensus | iterkeys ... Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | itervalues ... for key in dict . | 
PEP 234 | decided_bdfl_consensus | consensus | The following topics have been decided by consensus or BDFL pronouncement . | Resolved Issues |   Two alternative spellings for next     )  have been proposed but rejected     next       )  , because it corresponds to a type object slot    tp iternext  )    and   call       )  , because this is the only operation .
PEP 234 | decided_bdfl_consensus | consensus | The following topics have been decided by consensus or BDFL ! | Resolved Issues ! | pronouncement . ! !
PEP 234 | decided_bdfl_consensus | consensus | Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | There is still discussion about whether 334,403 and found that the latter is only about 7 faster . | 
PEP 250 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 251 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 255 | proposal | support | PEP 255 proposes both a mechanism and concrete syntax to support it . | I was discussing mechanisms . | I pointed out that the proposed mechanism had important limitations    well , important to me I suppose   I like it when abstractions can commute   this is not the case with the generators of PEP 255  )  and I offered a more general mechanism , but I did not suggest convenient concrete syntax for it .
PEP 255 | proposal | support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators . | The finally clause execution can not be either guaranteed or enforced . | Rationale
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 255 | proposal | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 255 | proposal | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 256 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 258 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 263 | updated | discussion | So after discussion with MAL , I have updated the PEP to reflect this strategy . | Still , providing the transitional warning of phase 1 is desirable , and indeed possible with this implementation . | There are only minimal user visible changes     more encodings can be supported even in phase 1 , in particular those based on ISO 2022    provided that the proper codecs are available  )    it is now an error if the declared encoding and the text do not match .
PEP 263 | proposal | discussion | In the discussion of PEP 263 , I proposed that the external encoding of Python scripts themselves be fixed as UTF 8 , and other encodings would have to be pretranslated by an appropriate codec . | I think it would be reasonable to make UTF 8 the default encoding on all platforms , except for internal OS functions , where Windows will presumably continue to use UTF 16 and nix distros will probably continue to agree to disagree about whether on disk format is NFD or NFC and the Python language as yet does n't know about NFC v. NFD , although the library does . | That was shouted down by the European contingent , who wanted to continue using Latin 1 and Latin 2 without codecs or a wrapper to call them transparently .
PEP 285 | proposal | discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list . |  | 
PEP 285 | proposal | discussion | The first round of discussion on python dev brought up some contentious issues where people disagreed strongly with particular details proposed in the PEP , and I put those contentious issues at the top of the review list . |  | 
PEP 285 | accepted | discussion | The ACCEPTED thread was just Guido 's final decision , so it 's unlikely it would automatically duplicate much of the prior discussion . | There were several lengthy threads that cropped up in response to Guido 's original posting of the PEP which in turn followed a lengthy discussion on the python dev list . | I 'm not sure any angry comments were called for    hope you did n't take mine in that vein  )  , but I do think that in a case like this , it 's a good idea to review prior threads    e.g. , with google for the newsgroup  )  and perhaps python dev archives .
PEP 286 | deferred | feedback | PEP Deferral Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback , and with sufficient available time to do so effectively . | To deal with these cases , a specialized argument type is proposed . | 
PEP 287 | proposal | discussion | The PEP proposes to solve a specific problem docstring formats without any discussion of the problem domain or its requirements . | I think this is backwards . | 
PEP 288 | proposal | support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators . | The finally clause execution can not be either guaranteed or enforced . | Rationale
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 289 | bdfl_pronouncement_accepted | feedback | Based on the favorable feedback here and on python dev , Guido has accepted the PEP for Py2 .4 . | Thanks to everyone for the comments on PEP 289 . | Raymond Hettinger
PEP 289 | bdfl_pronouncement_accepted | favorable_feedback | Based on the favorable feedback here and on python dev , Guido has accepted the PEP for Py2 .4 . | Thanks to everyone for the comments on PEP 289 . | Raymond Hettinger
