PEP 256 | proposal | consensus | consensus | is |  | This PEP proposes a Docstring Processing System DPS framework .
PEP 257 | proposal | consensus | consensus | is |  | This PEP proposes a Docstring Processing System DPS framework .
PEP 258 | proposal | consensus | consensus | is |  | This PEP proposes a Docstring Processing System DPS framework .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 265 | rejected | consensus | several people | agreed | pep rejcted | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 284 | rejected | no_support | several people | spoke up | against including guido | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against including guido | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against including guido | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against including guido | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against including guido | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against including guido | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 284 | rejected | no_support | several people | spoke up | against it | Raymond suggested updating PEP 284 Integer for loops '' , but several people spoke up against it , including Guido , so the PEP was rejected .
PEP 287 | superseded | superseded | it | superseded | pep | It has been superseded by PEP 287 .
PEP 287 | accepted | consensus | consensus | is |  | I would n't object to seeing this PEP approved as an informational PEP that described reST as an optional format for docstrings .
PEP 287 | accepted | consensus | consensus | is |  | I would n't object to seeing this PEP approved as an informational PEP that described reST as an optional format for docstrings .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 303 | rejected | no_one_spoke_for | no | spoke | rejected | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | one | spoke | rejected | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | no | spoke | for it | No one spoke up for it and some against , so it is now rejected .
PEP 303 | rejected | no_one_spoke_for | one | spoke | for it | No one spoke up for it and some against , so it is now rejected .
