term,member,start_date,end_date
2019,Barry Warsaw,2019-02-04,2019-12-31
2019,Brett Cannon,2019-02-04,2019-12-31
2019,Carol Willing,2019-02-04,2019-12-31
2019,Guido van Rossum,2019-02-04,2019-12-31
2019,Nick Coghlan,2019-02-04,2019-12-31
2020,Barry Warsaw,2020-01-01,2020-12-31
2020,Brett Cannon,2020-01-01,2020-12-31
2020,Carol Willing,2020-01-01,2020-12-31
2020,Thomas Wouters,2020-01-01,2020-12-31
2020,Victor Stinner,2020-01-01,2020-12-31
2021,Barry Warsaw,2021-01-01,2021-12-31
2021,Brett Cannon,2021-01-01,2021-12-31
2021,Carol Willing,2021-01-01,2021-12-31
2021,Pablo Galindo Salgado,2021-01-01,2021-12-31
2021,Thomas Wouters,2021-01-01,2021-12-31
2022,Pablo Galindo Salgado,2022-01-01,2022-12-31
2022,Petr Viktorin,2022-01-01,2022-12-31
2022,Thomas Wouters,2022-01-01,2022-12-31
2022,Gregory P. Smith,2022-01-01,2022-12-31
2022,Brett Cannon,2022-01-01,2022-12-31
2023,Pablo Galindo Salgado,2023-01-01,2023-12-31
2023,Gregory P. Smith,2023-01-01,2023-12-31
2023,Emily Morehouse,2023-01-01,2023-12-31
2023,Brett Cannon,2023-01-01,2023-12-31
2023,Thomas Wouters,2023-01-01,2023-12-31
2024,Pablo Galindo Salgado,2024-01-01,2024-12-31
2024,Gregory P. Smith,2024-01-01,2024-12-31
2024,Barry Warsaw,2024-01-01,2024-12-31
2024,Emily Morehouse,2024-01-01,2024-12-31
2024,Thomas Wouters,2024-01-01,2024-12-31
2025,Barry Warsaw,2025-01-01,2025-12-31
2025,Donghee Na,2025-01-01,2025-12-31
2025,Emily Morehouse,2025-01-01,2025-12-31
2025,Gregory P. Smith,2025-01-01,2025-12-31
2025,Pablo Galindo Salgado,2025-01-01,2025-12-31
2026,Pablo Galindo Salgado,2026-01-01,2026-12-31
2026,Savannah Ostrowski,2026-01-01,2026-12-31
2026,Barry Warsaw,2026-01-01,2026-12-31
2026,Donghee Na,2026-01-01,2026-12-31
2026,Thomas Wouters,2026-01-01,2026-12-31
